dataset_id,order,possible_ordinal_patterns,window_patterns,comparison_bars,entropy_mean,entropy_mae_vs_window24,entropy_correlation_vs_window24,information_mae_vs_window24,information_correlation_vs_window24
qqq_1d,3,6,8,621,0.31379513291434674,0.2015424658845365,0.5300241879856374,0.1451105754368663,0.5075667110645479
qqq_1d,3,6,12,621,0.39192118186580055,0.13035414559696673,0.6813566576736032,0.09385498482981608,0.6694295403978039
qqq_1d,3,6,24,621,0.5030225075413503,0.0,1.0,0.0,1.0
qqq_1d,3,6,48,621,0.57787925660874,0.09166489798788385,0.6807573225149127,0.06599872655127635,0.6706995896071152
qqq_1d,3,6,96,621,0.6181417044962855,0.1291769031578688,0.16731179407083396,0.09300737027366553,0.1399951527876164
iwm_1d,3,6,8,621,0.2906630016168774,0.20119411685708594,0.46988841125640857,0.14485976413710186,0.4513204558858422
iwm_1d,3,6,12,621,0.3649192420301729,0.13080255517974376,0.6583133427318474,0.0941778397294155,0.6490608683754985
iwm_1d,3,6,24,621,0.4789607261683361,0.0,1.0,0.0,1.0
iwm_1d,3,6,48,621,0.5609688843969696,0.09606664171697618,0.5824513113559311,0.06916798203622285,0.5875134683875813
iwm_1d,3,6,96,621,0.5917525829042817,0.12355084546226328,0.28695743202115315,0.08895660873282955,0.29981507302905
tlt_1d,3,6,8,621,0.31725469319893823,0.21194377360526878,0.42329986325815594,0.1525995169957935,0.3978854027452804
tlt_1d,3,6,12,621,0.39645971547875103,0.137126164783582,0.5969002824749844,0.09873083864417904,0.5935713257131542
tlt_1d,3,6,24,621,0.514953536623694,0.0,0.9999999999999999,0.0,1.0
tlt_1d,3,6,48,621,0.5915002739986636,0.08268345348385493,0.6169890511723878,0.05953208650837555,0.5990775567789942
tlt_1d,3,6,96,621,0.6170362219434209,0.10507578848756345,0.3685192724275865,0.07565456771104569,0.3531970486973795
gld_1d,3,6,8,621,0.3130140836298815,0.2002269016919481,0.4322498647443672,0.1441633692182026,0.4284644617049577
gld_1d,3,6,12,621,0.3909017078305423,0.1272100248258829,0.6038068478408433,0.09159121787463573,0.6118916026497828
gld_1d,3,6,24,621,0.5032766042824377,0.0,0.9999999999999999,0.0,1.0
gld_1d,3,6,48,621,0.5728493547110158,0.08472099630058288,0.5756071445530567,0.060999117336419675,0.6162720349914281
gld_1d,3,6,96,621,0.6095109170024307,0.11577446901577122,0.2719784764418205,0.08335761769135527,0.3842826940842624
uso_1d,3,6,8,621,0.3257244550922754,0.19784854069183777,0.5215539311120836,0.14245094929812316,0.4868099648536545
uso_1d,3,6,12,621,0.4020382353140101,0.1278667440697447,0.6746732448356257,0.09206405573021617,0.6485108533317401
uso_1d,3,6,24,621,0.50730383194289,0.0,1.0,0.0,1.0
uso_1d,3,6,48,621,0.5829771277759751,0.09082547871129296,0.6057132895155354,0.06539434467213093,0.5547402866417322
uso_1d,3,6,96,621,0.6230629341153777,0.12559952654766154,0.30228224923904023,0.09043165911431632,0.19000384719363997
btc_usd_1d,3,6,8,621,0.25938462760385933,0.19668121497403124,0.29926467980566784,0.14161047478130248,0.28230766850746974
btc_usd_1d,3,6,12,621,0.32656665289751374,0.13968208435077883,0.492970804023473,0.10057110073256076,0.49157023317598364
btc_usd_1d,3,6,24,621,0.4426834196742164,0.0,0.9999999999999999,0.0,0.9999999999999998
btc_usd_1d,3,6,48,621,0.536879925896262,0.10522031427909728,0.5195580171457836,0.07575862628095004,0.544982918780982
btc_usd_1d,3,6,96,621,0.5817362182440713,0.14136503895925506,0.34165309930958365,0.10178282805066366,0.3773162190510031
