dataset_id,horizon_step,reference_step,feature,comparison_bars,mae,rmse,iqr_normalized_mae,correlation,final_abs_error
spy_5m,2,1,velocity,371,0.014474123989218332,0.0197217825309849,0.022022250268875363,0.9990955969088087,0.01820000000000005
spy_5m,2,1,acceleration,371,0.03406846361185984,0.0485222520992901,0.08661106803574385,0.9866734366253074,0.027600000000000013
spy_5m,2,1,jerk,371,0.05251051212938006,0.07481375905857421,0.13057444269397006,0.9671667817394688,0.07040000000000002
spy_5m,2,1,snap,371,0.06653342318059298,0.09347612765860874,0.16495208424592284,0.9498242277106956,0.03480000000000005
spy_5m,2,1,structure,371,0.003385983827493261,0.003822891752026061,0.05456863541487931,0.9993986565513457,0.006200000000000039
spy_5m,2,1,kinematics,371,0.011274932614555255,0.014576813919479343,0.16866017374054243,0.9666328065028398,0.0008999999999999564
spy_5m,2,1,geometry,371,0.008045552560646901,0.010369274798088579,0.13648095946814082,0.9700640224461697,0.00539999999999996
spy_5m,2,1,information,371,0.011484097035040431,0.016509294939730412,0.1838926666940021,0.9818590365760989,0.0045000000000000595
spy_5m,2,1,propagation,371,0.019012938005390834,0.02336778601366832,0.14436551256940633,0.9804561654146838,0.05459999999999998
spy_5m,2,1,cascade_bias,371,0.03460700808625337,0.044108051596431046,0.13616764936554543,0.9698435290955821,0.02560000000000001
spy_5m,2,1,scaling_exponent,371,0.05574123989218329,0.06757741652149538,0.17877241787101766,0.9888360982493244,0.006500000000000006
spy_5m,4,1,pressure,371,0.001671159029649596,0.002123542785597727,0.017526576084421562,0.9998476497098969,0.0002999999999999982
spy_5m,4,1,velocity,371,0.040327762803234496,0.056052092636660646,0.06135833062492886,0.9924886060180653,0.02150000000000002
spy_5m,4,1,acceleration,371,0.07263935309973046,0.10127755702993374,0.18466849650370018,0.9468183019091602,0.12210000000000001
spy_5m,4,1,jerk,371,0.09387304582210242,0.125405345260663,0.23342793938108272,0.9128364981612636,0.0041999999999999815
spy_5m,4,1,snap,371,0.10536873315363882,0.14097908334466078,0.2612339981495942,0.8930225843473651,0.03859999999999997
spy_5m,4,1,structure,371,0.009195148247978437,0.010292776102305116,0.1481893351809579,0.9965213347104802,0.012900000000000023
spy_5m,4,1,kinematics,371,0.018067385444743934,0.023760200249639415,0.2702675459198795,0.9139779617011368,0.02939999999999998
spy_5m,4,1,geometry,371,0.01573854447439353,0.020669118337030938,0.26698124638496235,0.8823435955003444,0.0736
spy_5m,4,1,information,371,0.01988382749326146,0.02506130219929779,0.3183959566575093,0.9553733787772742,0.0040999999999999925
spy_5m,4,1,propagation,371,0.04154932614555256,0.050511930751536094,0.31548463284398265,0.9214463262045091,0.07520000000000004
spy_5m,4,1,cascade_bias,371,0.08403773584905659,0.10692677318986972,0.33066195494415346,0.8477336192861581,0.014400000000000024
spy_5m,4,1,scaling_exponent,371,0.11911859838274932,0.14264823282761327,0.3820352738381955,0.9571447556036047,0.007400000000000018
spy_5m,8,1,pressure,371,0.003164420485175202,0.003948502735778138,0.033187419875985336,0.9993743028901192,0.0017999999999999995
spy_5m,8,1,velocity,371,0.07159919137466307,0.09842876842077314,0.10893752966856306,0.9750296952799384,0.07830000000000004
spy_5m,8,1,acceleration,371,0.12262183288409703,0.16480313183963144,0.31173721338273047,0.872084095044588,0.1595
spy_5m,8,1,jerk,371,0.14403719676549864,0.18677317809018606,0.3581678397749562,0.8328615506114017,0.09100000000000003
spy_5m,8,1,snap,371,0.15374150943396225,0.2026435460741315,0.38116154564016924,0.8055877772653318,0.0025000000000000577
spy_5m,8,1,structure,371,0.013905660377358492,0.0160151343516652,0.22410411567056396,0.9893823674237652,0.016600000000000004
spy_5m,8,1,kinematics,371,0.028226415094339628,0.03677951424996818,0.42223507994524523,0.813743217386625,0.03919999999999996
spy_5m,8,1,geometry,371,0.021217250673854448,0.02673670765797727,0.359919434670983,0.7965845969874364,0.0731
spy_5m,8,1,information,371,0.025001078167115907,0.036227871952399585,0.4003375206904068,0.930500821460021,0.01819999999999994
spy_5m,8,1,propagation,371,0.06772048517520216,0.08150352215695478,0.5142026209202891,0.8224659970352138,0.027800000000000047
spy_5m,8,1,cascade_bias,371,0.16397304582210243,0.20811714990901967,0.6451821594416779,0.6066541833903538,0.04899999999999999
spy_5m,8,1,scaling_exponent,371,0.1842210242587601,0.22591902599665578,0.5908307384822327,0.9018141202382243,0.011199999999999988
spy_15m,1,1,pressure,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,velocity,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,acceleration,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,jerk,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,snap,371,0.0,0.0,0.0,0.9999999999999998,0.0
spy_15m,1,1,structure,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,kinematics,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,geometry,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,information,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,propagation,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,cascade_bias,371,0.0,0.0,0.0,1.0,0.0
spy_15m,1,1,scaling_exponent,371,0.0,0.0,0.0,0.9999999999999998,0.0
spy_15m,2,1,pressure,371,0.001234501347708895,0.0015766490105365483,0.008997823234029848,0.9999410846268408,0.0010000000000000009
spy_15m,2,1,velocity,371,0.01287088948787062,0.018086209396952265,0.01725551613871916,0.9991462241513346,0.03370000000000001
spy_15m,2,1,acceleration,371,0.03266927223719677,0.044006351844880505,0.08906562769137613,0.9904475141299252,0.0542
