dataset_id,input_window_bars,full_history_bars,comparison_tail_bars,feature_family,feature,mae,reference_iqr,iqr_normalized_mae,final_abs_error
tlt_1d,365,749,32,stratum,structure,8.684254320864837e-09,0.05120755943309713,1.6958930316159373e-07,6.067565894163351e-10
tlt_1d,365,749,32,stratum,kinematics,4.8029104729799266e-08,0.07417687523035749,6.474943111400164e-07,2.9675579771293314e-09
tlt_1d,365,749,32,stratum,geometry,8.173998026182738e-08,0.0646720560583049,1.2639149772528488e-06,9.441914361474346e-09
tlt_1d,365,749,32,stratum,information,2.176597193280505e-09,0.09755636084671426,2.231117657925443e-08,3.727658737240347e-10
tlt_1d,365,749,32,stratum,propagation,3.789378332369475e-07,0.16582417548412787,2.285178455618e-06,4.307287748694932e-09
tlt_1d,365,749,32,stratum,cascade_bias,4.297765620819242e-07,0.2712676465296489,1.5843266514827474e-06,2.5276944370933307e-08
tlt_1d,365,749,32,stratum,scaling_exponent,6.418476861114186e-17,0.19269125844427987,3.330964213392277e-16,0.0
tlt_1d,365,749,32,carrier,carrier_price_structure,8.684254320864837e-09,0.05120755943309713,1.6958930316159373e-07,6.067565894163351e-10
tlt_1d,365,749,32,carrier,carrier_realized_volatility,0.0012372827204931453,0.17655249110270055,0.0070080162152649445,0.0008710780940051066
tlt_1d,365,749,32,carrier,carrier_participation,0.00017395181694845711,0.12041228737437448,0.0014446351011306894,0.00012601245832266628
tlt_1d,365,749,32,carrier,carrier_liquidity_stress,1.4446809742767186e-06,0.0003750309211058567,0.003852164962869665,1.0268749895958607e-06
tlt_1d,365,749,32,carrier_ratio,ratio_realized_volatility,0.0012212780900062968,0.17393930447345374,0.007021288797855839,0.000834679541246719
tlt_1d,365,749,32,carrier_ratio,ratio_participation,0.00016770499222104954,0.11956593163230544,0.0014026151925682602,0.00012294389440115072
tlt_1d,365,749,32,carrier_ratio,ratio_liquidity_stress,1.4448416193295344e-06,0.0003750112126783556,0.0038527957844523564,1.0268187862205735e-06
gld_1d,60,749,32,derivative,pressure,0.03881486896475552,0.18576715831132073,0.20894365461362674,0.0017870146348094584
gld_1d,60,749,32,derivative,velocity,0.17563384296764553,0.6953851242859985,0.25257060704020856,0.03524531754118421
gld_1d,60,749,32,derivative,acceleration,0.14372646943673065,0.5039525899189521,0.2851983942772184,0.042113860082688914
gld_1d,60,749,32,derivative,jerk,0.14350885672125577,0.5630033847605047,0.25489874591482753,0.03146648143616265
gld_1d,60,749,32,derivative,snap,0.132537645252296,0.5210367442826387,0.25437293378372633,0.030649018545421465
gld_1d,60,749,32,stratum,structure,0.03767750825120739,0.14130555258502486,0.2666385542672605,0.0005566760807529381
gld_1d,60,749,32,stratum,kinematics,0.038513541379330545,0.08027855213852408,0.4797488289633547,0.00013030562250865296
gld_1d,60,749,32,stratum,geometry,0.027423750195014494,0.0523335311091942,0.524018724014527,0.008794866341565122
gld_1d,60,749,32,stratum,information,0.11455769354354237,0.11579304073811336,0.9893314210707623,0.04236534075131243
gld_1d,60,749,32,stratum,propagation,0.09400839441704827,0.1772114237597736,0.5304872136487391,0.051886769883523365
gld_1d,60,749,32,stratum,cascade_bias,0.12180004166090999,0.3008792495437007,0.40481369800551614,0.009996005612605052
gld_1d,60,749,32,stratum,scaling_exponent,0.08746954572760694,0.2696693387002029,0.32435851309313546,2.220446049250313e-16
gld_1d,60,749,32,carrier,carrier_price_structure,0.03767750825120739,0.14130555258502486,0.2666385542672605,0.0005566760807529381
gld_1d,60,749,32,carrier,carrier_realized_volatility,0.5316165134853541,0.29843030888590716,1.781375743871231,0.45652153410694685
gld_1d,60,749,32,carrier,carrier_participation,0.44783299800852266,0.2766573725367529,1.6187278650925154,0.35161566770306457
gld_1d,60,749,32,carrier,carrier_liquidity_stress,0.0009512100308746614,0.0010718437558984717,0.8874521362279251,0.0006844206939387032
gld_1d,60,749,32,carrier_ratio,ratio_realized_volatility,1.4507112676905263,0.3307777146722779,4.385758784045764,0.6910350645527894
gld_1d,60,749,32,carrier_ratio,ratio_participation,0.4753250620619548,0.3074486631218293,1.5460306681301228,0.35193299998260974
gld_1d,60,749,32,carrier_ratio,ratio_liquidity_stress,0.0009525455488137088,0.0010717748621101864,0.888755262404895,0.0006853862380433728
gld_1d,96,749,32,derivative,pressure,0.0021711836907711427,0.18576715831132073,0.011687661643251987,0.0010276518618073383
gld_1d,96,749,32,derivative,velocity,0.008330105962045156,0.6953851242859985,0.011979125913281895,0.001890508475514363
gld_1d,96,749,32,derivative,acceleration,0.005226939058395254,0.5039525899189521,0.010371886488837915,0.0010397897391700717
gld_1d,96,749,32,derivative,jerk,0.0036410010006897673,0.5630033847605047,0.006467103216863622,0.0006333196478275904
